DATE,GENERAL_DAM_OCCUPANCY_RATE,GENERAL_DAM_RESERVED_WATER
2005-12-08,0.512338817252112,0.5121638924455826
2005-12-09,0.5128946198310361,0.5134443021766966
2005-12-10,0.5126722987994665,0.5134443021766966
2005-12-11,0.5120053357047577,0.5121638924455826
2005-12-12,0.5110048910626946,0.5108834827144687
2005-12-13,0.5105602489995554,0.5108834827144687
2005-12-14,0.5098932859048466,0.5096030729833547
2005-12-15,0.5098932859048466,0.5096030729833547
2005-12-16,0.509115162294353,0.5096030729833547
2005-12-17,0.5120053357047577,0.5121638924455826
2005-12-18,0.5188972876834149,0.5185659411011524
2005-12-19,0.6178301467318809,0.618437900128041
2005-12-20,0.6525122276567364,0.6530089628681178
2005-12-21,0.6599599822143175,0.6606914212548015
2005-12-22,0.6651845264562029,0.6658130601792573
2005-12-23,0.6686305024455313,0.6683738796414853
2005-12-24,0.6711871943085816,0.6709346991037132
2005-12-25,0.6740773677189863,0.6747759282970551
2005-12-26,0.6767452200978213,0.677336747759283
2005-12-27,0.6804135171187194,0.6811779769526248
2005-12-28,0.686082703423744,0.6862996158770807
2005-12-29,0.6899733214762117,0.6901408450704225
2005-12-30,0.6975322365495776,0.6978233034571063
2005-12-31,0.7052023121387284,0.70550576184379
2006-01-01,0.7174299688750556,0.7183098591549296
2006-01-02,0.7256558470431304,0.7259923175416133
2006-01-03,0.7308803912850157,0.7311139564660691
2006-01-04,0.7354379724321921,0.736235595390525
2006-01-05,0.7357714539795466,0.736235595390525
2006-01-06,0.7364384170742553,0.736235595390525
2006-01-07,0.7402178746109384,0.7400768245838668
2006-01-08,0.7427745664739884,0.7426376440460948
2006-01-09,0.746776345042241,0.7477592829705506
2006-01-10,0.7582258781680747,0.7580025608194623
2006-01-11,0.7763450422409961,0.7772087067861716
2006-01-12,0.7955758114717653,0.7964148527528809
2006-01-13,0.8113606047132059,0.8117797695262484
2006-01-14,0.8298132503334815,0.8297055057618438
2006-01-15,0.8369275233437083,0.8373879641485276
2006-01-16,0.8390395731436195,0.8399487836107554
2006-01-17,0.841485104490885,0.8412291933418694
2006-01-18,0.8434859937750112,0.8437900128040973
2006-01-19,0.8450422409959983,0.8450704225352113
2006-01-20,0.8638283681636283,0.8642765685019206
2006-01-21,0.8707203201422855,0.8706786171574904
2006-01-22,0.8684971098265897,0.8693982074263764
2006-01-23,0.87105380168964,0.8719590268886044
2006-01-24,0.8741662961316141,0.8745198463508322
2006-01-25,0.8759448643841709,0.8758002560819462
